问题描述,是否解决,（表内关联）关联其他问题,原因及解决方法,解决时间,是否需要定制修改,任务编号,创建人,同步属性,创建时间,平台报警提示,设备相关配置文件,位置：服务器ip+车间名称,编辑时间,日记,数据库相关表,所在服务器,同步（关联用）同步设备编号 1,相关项目,备注,项目类型,服务器相关模块,对现场影响,同步关联问题 1,子任务编号,任务ID,同步（关联用）同步设备编号,同步关联问题 1,货架号,记录详细过程（案例）,归属,同步关联问题,问题时间,设备配置文件,设备序列号,设备IP,位置,设备编号,附件
呼叫器全部失效（直连正常但平台无信号）,已解决,,删除 cis 表中数据后重启呼叫器模块，后更换 java 版模块,2025/3/10,Yes,,汪羽杰,,2025/3/10 9:39,,,2.36_包材_行业_备料部_跨楼层配送,2025/3/10 9:44,,,10.68.2.36,,,,问题记录,,,,,,,,,Yes,,,2025/3/10,,,,材行业_备料部_跨楼层配送,,
2.3服务器加不上车,已查明原因（不同版本需注意）,,rdms  4.1版本bug，充电配置不能配0,2025/3/10,,,汪羽杰,,2025/3/10 14:00,,,2.3_1_PCBA_1,2025/3/18 8:49,,,10.68.2.3,,,,问题记录,,,,,,,,,YES,rdms,,2025/3/10,,,,PCBA1,,
超时下发,观察中,,,2025/3/10,,,汪羽杰,,2025/3/10 14:13,,,,2025/3/18 8:50,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/10,,,,,,
回库任务没反应,已过期,,,2025/3/10,,,汪羽杰,,2025/3/10 15:39,,,,2025/3/18 11:27,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/10,,,,,,
前端四部电梯口脱轨,已解决,,瞎改地码，没有一条是直线，导致脱轨，设备脱轨录像也看不出原因。,2025/3/11,,,汪羽杰,,2025/3/11 9:41,,,2.31_19_3F前端四部车间,2025/3/13 10:30,,,10.68.2.31,,,,问题记录,,,,,,,,,,现场,,2025/3/11,,,,93F前端四部车间,,
查询任务下发,已过期,,,2025/3/11,,,汪羽杰,,2025/3/11 10:06,,,,2025/3/18 11:27,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/11,,,,,,
设备已经有任务,已解决,,跨环境不兼容子任务容量管控，只能使用跨环境容量管控,2025/3/11,,,汪羽杰,,2025/3/11 10:45,,,2.31_28_29_31_A2存储备料区域,2025/3/18 11:28,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/3/11,,,,829_31_A2存储备料区域,,
后续任务规划失败,已解决,,缺少路线，路径不可达,2025/3/11,,,汪羽杰,,2025/3/11 15:44,,,2.31_2_富阳电装工厂,2025/3/18 11:29,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/3/11,,,,富阳电装工厂,,
撞充电桩,已解决,,,2025/3/12,,,汪羽杰,,2025/3/12 13:37,,,,2025/3/12 16:05,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/12,,,,,,
死锁,已解决,,适当位置添加不可避让点,2025/3/12,,,汪羽杰,,2025/3/12 16:06,,,2.10_1_PCBA 半成品仓库,2025/3/13 8:41,,,10.68.2.10,,,,问题记录,,,,,,,,,,,,2025/3/12,,,,PCBA 半成品仓库,,
上料任务不执行,已解决,,,2025/3/13,,,汪羽杰,,2025/3/13 8:41,,,,2025/3/13 9:17,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/13,,,,,,
跨环境任务失败,已过期,,,2025/3/13,,,汪羽杰,,2025/3/13 8:58,,,2.17_1_A2备料and存储二部,2025/3/18 11:29,,,10.68.2.17,,,,问题记录,,,,,,,,,,,,2025/3/13,,,,A2备料and存储二部,,
设备离线状态，无法注册到2.1服务器,已解决,,,2025/3/17,,,汪羽杰,,2025/3/13 9:31,,,2.1_4_A4物流_2F,2025/3/18 11:36,,,10.68.2.1,,,,问题记录,,,,,,,,,Yes,,,2025/3/13,,,,A4物流2F,,
A3设备批量掉线,已解决,,现场网络问题,2025/2/28,,,汪羽杰,,2025/3/13 10:42,,,2.32_1_A3结构备料部@举升,2025/3/13 10:43,,,10.68.2.32,,,,问题记录,,停线级（较大影响）,,,,,,,,网络,,2025/2/28,,,,A3结构备料部@举升,,
设备跑到禁行区,已解决,,,2025/3/13,,,汪羽杰,,2025/3/13 14:39,,,2.31_28_29_31_A2存储备料区域,2025/6/19 19:07,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/3/13,,,,829_31_A2存储备料区域,,
跨环境模板没转,已解决,,,2025/3/14,,,汪羽杰,,2025/3/14 9:10,,,2.27_1_行业备料部,2025/3/20 8:37,,,10.68.2.27,,,,问题记录,,调试级（轻微或无）,,,,,,,,"跨环境,配置问题",,2025/3/14,,,,行业备料部,,
点胶跨环境回库不生效,已解决,,32 配置未加导致任务预占,2025/3/14,,,汪羽杰,,2025/3/14 13:47,,,2.32_1_A3结构备料部@举升,2025/3/20 8:41,,,10.68.2.32,,,,问题记录,https://flowus.cn/9a3aaf29-9517-4bc9-8976-cf9465e2f5e6,调试级（轻微或无）,,,,,,,,"配置问题,平台",,2025/3/14,,,,A3结构备料部@举升,,
路径不可达,已解决,,路径不可达,2025/3/14,,,汪羽杰,,2025/3/14 14:25,,,2.31_2_富阳电装工厂,2025/3/20 8:41,,,10.68.2.31,,,,问题记录,,,,,,,,,,地图问题,,2025/3/14,,,,富阳电装工厂,,
31rtpsp 问题,已过期,,,2025/3/17,,,汪羽杰,,2025/3/17 8:42,,,2.31_28_29_31_A2存储备料区域,2025/3/20 8:42,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/3/17,,,,829_31_A2存储备料区域,,
库位传感器跨环境任务卡住,已解决,,因为上报的任务单号在 31 查不到，导致有一定概率让库位传感器卡住，新增一个单独的上报接口,2025/3/17,Yes,,汪羽杰,,2025/3/17 9:14,,,2.31_24_25_26_27_电装跨电梯,2025/3/20 8:48,,,10.68.2.31,,https://flowus.cn/b9b4eade-6d8e-4af2-b40b-c5e20483ee3c,,问题记录,https://flowus.cn/9a3aaf29-9517-4bc9-8976-cf9465e2f5e6,单个设备级（轻微影响）,,,,,,,Yes,"ICS,平台",,2025/3/17,,,,425_26_27_电装跨电梯,,
noc任务执行顺序,已解决,,正常按照时间顺序进行任务下发，未发现问题。,2025/3/17,,,汪羽杰,,2025/3/17 10:00,,,2.17_1_A2备料and存储二部,2025/3/17 10:18,,,10.68.2.17,,,,问题记录,,,,,,,,,,,,2025/3/17,,,,A2备料and存储二部,,
设备没电,已解决,,,2025/3/18,,,汪羽杰,,2025/3/18 8:57,,,2.1_11_A2电料仓,2025/3/18 8:59,,,10.68.2.1,,,,问题记录,,,,,,,,,,现场,,2025/3/18,,,,A2电料仓,,
库位传感器任务未完成,解决中,,"上报到2.31的时候没有查到icsTaskOrderDetail,部分查到的时候可以正常运行，查不到会导致库位传感器任务卡住。 添加一个单独上报的接口，不走ics上报。",2025/3/19,YES,,汪羽杰,,2025/3/18 10:26,,,2.31_24_25_26_27_电装跨电梯,2025/3/19 13:49,,,10.68.2.31,,,,问题记录,,,,,,,,,YES,"平台,ICS",,2025/3/18,,,,425_26_27_电装跨电梯,,
锁格没释放,解决中,,引起这个问题的核心原因是设备的断线时间不可控，这次是4秒； [图片] tps的sheep时间修改的更大，会导致整体的任务效率会降低。  如果rtps更新升级后，能保证离线事件后，可以正常释放小车，不造成堵塞。,2025/3/19,Yes,,汪羽杰,,2025/3/19 10:09,,,2.31_2_富阳电装工厂,2025/3/20 8:36,,,10.68.2.31,,,,问题记录,,,,,,,,,Yes,平台,,2025/3/19,,,,富阳电装工厂,,
多车死锁,已解决,,,2025/3/19,,,汪羽杰,,2025/3/19 10:20,,,2.31_28_29_31_A2存储备料区域,2025/3/19 10:27,,,10.68.2.31,,,,问题记录,,,,,,,,,,平台,,2025/3/19,,,,829_31_A2存储备料区域,,
没有上架任务生成,已解决,,wms 修改逻辑，根据上报的 11 进行容量管控,2025/3/19,,,汪羽杰,,2025/3/19 13:51,,,2.10_1_PCBA 半成品仓库,2025/3/20 8:58,,,10.68.2.10,,,,问题记录,,,,,,,,,Yes,,,2025/3/19,,,,PCBA 半成品仓库,,
下发任务车跑掉了,已处理,,,2025/3/19,,,汪羽杰,,2025/3/19 15:51,,,,2025/3/20 8:59,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/19,,,,,,
任务不执行,已解决,,货架不在地图上,2025/3/19,,,汪羽杰,,2025/3/19 16:08,,,2.27_1_行业备料部,2025/3/19 16:08,,,10.68.2.27,,,,问题记录,,,,,,,,,,平台,,2025/3/19,,,,行业备料部,,
2.1服务器登录不进,已解决,,重启,2025/3/19,YES,,汪羽杰,,2025/3/19 16:10,,,2.1_4_A4物流_2F,2025/3/20 9:07,,,10.68.2.1,,,,问题记录,https://flowus.cn/5fd53ccf-0ebf-409c-8e39-42d2c3281e16,调试级（轻微或无）,,,,,,,,平台,,2025/3/19,,,,A4物流2F,,
设备离线，但是设备上显示在线,已过期,,,2025/3/20,,,汪羽杰,,2025/3/20 14:51,,,,2025/6/19 19:06,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/20,,,,,,
176.126设备问题,已过期,,,2025/3/21,,,汪羽杰,,2025/3/21 15:40,,,,2025/6/19 19:06,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/21,,,,,,
31rtps挂,已解决,,,2025/3/21,,,汪羽杰,,2025/3/21 18:56,,,,2025/6/19 19:08,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/21,,,,,,
货架任务完成后货架丢失,已过期,,,2025/3/24,,,汪羽杰,,2025/3/24 11:36,,,,2025/6/8 13:44,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/24,,,,,,
死锁问题,已解决,,这个问题是下面车已经规划了路径，这两个不可避让，而上面这个车要在那个位置旋转，同样任务已经下发，所以导致死锁,2025/3/25,,,汪羽杰,,2025/3/25 16:57,,,,2025/3/25 17:25,,,10.68.,,,,问题记录,,,,,,,,,YES,,,2025/3/25,,,,,,
货架再不可旋转点旋转,已过期,,,2025/3/26,,,汪羽杰,,2025/3/26 14:42,,,,2025/6/19 19:07,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/26,,,,,,
CC55锁格未释放,已解决,,,2025/3/27,,,汪羽杰,,2025/3/27 15:24,,,,2025/6/19 19:07,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/27,,,,,,
设备离线,已过期,,,2025/3/28,,,汪羽杰,,2025/3/28 9:08,,,,2025/6/19 19:06,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/28,,,,,,
设备自动取消任务,已解决,,,2025/3/28,,,汪羽杰,,2025/3/28 16:07,人工按钮取消任务,,,2025/3/28 16:10,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/28,,,,,,
ics超时,已过期,,,2025/4/2,,,汪羽杰,,2025/4/2 9:09,,,,2025/4/23 14:19,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/2,,,,,,
跨环境车显示空闲,已解决,,地图路径不可达导致车停在交接点,2025/4/2,,,汪羽杰,,2025/4/2 10:38,,,2.31_2_富阳电装工厂,2025/4/2 10:43,,,10.68.2.31,,,,问题记录,,,,,,,,,Yes,地图问题,,2025/4/2,,,,富阳电装工厂,,
旋转货架不动,已解决,,,2025/4/2,,,汪羽杰,,2025/4/2 14:11,,,2.10_1_PCBA 半成品仓库,2025/4/3 10:44,,,10.68.2.10,,,,问题记录,,,,,,,,,,,,2025/4/2,,,,PCBA 半成品仓库,,
货架不能旋转,已解决,,,2025/4/8,Yes,,汪羽杰,,2025/4/2 14:45,,,2.25_1_2_A2电料仓,2025/4/14 14:46,,,10.68.2.25,,,,问题记录,,,,,,,,,Yes,,,2025/4/2,,,,2_A2电料仓,,
充电桩对接成功不放电,已过期,,,2025/4/2,,,汪羽杰,,2025/4/2 15:21,,,,2025/4/23 14:20,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/2,,,,,,
4.5版本地图角度限制逻辑,已查明原因（不同版本需注意）,,算法逻辑不同，低版本地图需修改。,2025/4/3,NO,,汪羽杰,,2025/4/3 10:15,,,2.25_1_2_A2电料仓,2025/4/14 14:46,,,10.68.2.25,,,,问题记录,,,,,,,,,YES,算法,,2025/4/3,,,,2_A2电料仓,,
呼叫器失效,已解决,,呼叫器设备地址不正确,2025/4/7,,,汪羽杰,,2025/4/7 8:53,,,,2025/4/10 8:33,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/7,,,,,,
车早上没电,已解决,,设备脱轨,2025/4/8,,,汪羽杰,,2025/4/8 8:41,,,2.31_2_富阳电装工厂,2025/4/23 14:20,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/4/8,,,,富阳电装工厂,,
第一个任务未完成但显示已完成,已解决,,,2025/4/8,,,汪羽杰,,2025/4/8 11:04,,,,2025/4/23 14:21,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/8,,,,,,
设备已经绑定货架，不能操作）,已解决,,任务下发时指定的车和货架不对应导致失败,2025/4/8,,,汪羽杰,,2025/4/8 14:14,,,2.10_1_PCBA 半成品仓库,2025/4/23 14:22,,,10.68.2.10,,,,问题记录,,,,,,,,,,,,2025/4/8,,,,PCBA 半成品仓库,,
在龙门架回库任务回不了,已解决,,wms没有下发任务,2025/4/9,,,汪羽杰,,2025/4/9 10:23,,,2.10_1_PCBA 半成品仓库,2025/4/23 14:20,,,10.68.2.10,,,,问题记录,,,,,,,,,,,,2025/4/9,,,,PCBA 半成品仓库,,
锁格未释放,已过期,,,2025/4/9,,,汪羽杰,,2025/4/9 16:21,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/4/23 14:28,,,10.68.2.19,,,,问题记录,,,,,,,,,,跨环境,,2025/4/9,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
任务无法取消,已解决,,日志打印问题，出现场景是换车中取消任务。也是会返回取消不成功，更新解决,2025/4/9,YES,,汪羽杰,,2025/4/9 16:29,,,2.10_1_PCBA 半成品仓库,2025/4/9 16:31,,,10.68.2.10,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,rtps,,2025/4/9,,,,PCBA 半成品仓库,,
滚筒到点后滚筒不转,已解决,,,2025/4/10,,,汪羽杰,,2025/4/10 9:58,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/4/23 14:29,,,10.68.2.19,,,,问题记录,,,,,,,,,,AGV  设备,,2025/4/10,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
电梯全部不能使用,已解决,,电梯10.68.150.56离线导致所有电梯无法使用，暂时删除离线电梯，重启模块wdcs恢复,2025/4/10,,,汪羽杰,,2025/4/10 14:11,,,2.31_7_1F包材包材,2025/4/10 14:14,,,10.68.2.31,,,,问题记录,,停产级（重大影响）,,,,,,,,平台,,2025/4/10,,,,1F包材包材,,
客户端货架入库无法使用,已解决,,客户端版本不对应导致，4.2 客户端对 4.5 服务器无法使用货架入库功能。,2025/4/14,,,汪羽杰,,2025/4/14 14:43,,,2.25_1_2_A2电料仓,2025/4/16 16:53,,,10.68.2.25,,,,问题记录,,,,,,,,,YES,平台,,2025/4/14,,,,2_A2电料仓,,
跨环境新增点位noc无法回库,已解决,,数据库配置没加,2025/4/15,,,汪羽杰,,2025/4/15 13:50,,,2.17_1_A2备料and存储二部,2025/4/23 14:30,,,10.68.2.17,,,,问题记录,,,,,,,,,,跨环境,,2025/4/15,,,,A2备料and存储二部,,
规划路线异常,已解决,,rcs选点与机械臂点位放下货架不兼容导致，会出现放下货架后容量释放，出现新设备选到该点，修改为ics固定选点而非rcs动态选点，根据剩余容量进行选点,2025/4/16,,,汪羽杰,,2025/4/15 14:48,,,2.10_1_PCBA 半成品仓库,2025/4/23 14:32,,,10.68.2.10,,,,问题记录,,,,,,,,,,,,2025/4/15,,,,PCBA 半成品仓库,,
跨环境pad用不了,已过期,,,2025/4/16,YES,,汪羽杰,,2025/4/16 10:24,,,2.32_1_A3结构备料部@举升,2025/4/23 14:29,,,10.68.2.32,,,,问题记录,,,,,,,,,,,,2025/4/16,,,,A3结构备料部@举升,,
货架转不了,已过期,,,2025/4/16,,,汪羽杰,,2025/4/16 14:28,,,,2025/4/23 14:32,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/16,,,,,,
修改点位导致跨环境卡住,已解决,,下发的任务包含地图不存在的点位，导致任务卡住无法下发，地图更新与第三方下发点位需同步，任务点位建议不更改。,2025/4/18,,,汪羽杰,,2025/4/18 15:37,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/4/23 14:34,,,10.68.2.19,,,,问题记录,,,,,,,,,,"跨环境,ICS",,2025/4/18,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
过龙门架没有任务下发,已解决,,没有任务下发,2025/4/21,,,汪羽杰,,2025/4/21 8:46,,,2.10_1_PCBA 半成品仓库,2025/4/23 14:35,,,10.68.2.10,,,,问题记录,,,,,,,,,,ICS,,2025/4/21,,,,PCBA 半成品仓库,,
所有车不动，重启rtpsp恢复,已解决,,0224设备报错0X1114，导致任务失败，货架消失，设备空车离开。后续人工绑定货架到原点后，堵住了后面的车，导致很多车触发了挪车，算法产生27个锁链，运算卡住。重启rtpsp后恢复。修改算法配置项关闭设备逆行。,2025/4/21,,,汪羽杰,,2025/4/21 10:11,,,,2025/4/23 14:26,,,10.68.,,,,问题记录,,,,,,,,,YES,,,2025/4/21,,,,,,
32出现大量15服务器的任务失败报警,已解决,,fy-xfj模块重启导致转发接口需要重新调用一次启动。,2025/4/22,,,汪羽杰,,2025/4/22 16:57,,,2.32_1_A3结构备料部@举升,2025/4/24 14:00,,,10.68.2.32,,,,问题记录,https://flowus.cn/78f0b559-c8de-41bc-a90e-a51a17b2f531,,,,,,,,,状态上报,,2025/4/22,,,,A3结构备料部@举升,,
停在上架位不动,已过期,,,2025/4/22,,,汪羽杰,,2025/4/22 17:00,,,,2025/6/10 11:47,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/22,,,,,,
任务下发没问题，但是任务失败,解决中,,修改临时任务结束时预占不释放车,2025/4/24,,,汪羽杰,,2025/4/23 16:23,,,2.10_1_PCBA 半成品仓库,2025/4/28 12:00,,,10.68.2.10,,,,问题记录,https://flowus.cn/4b008bf7-ffa7-4ced-9f2b-641da6284442,单个设备级（轻微影响）,,,,,,,Yes,"rtps,tps",,2025/4/23,,,,PCBA 半成品仓库,,
脱轨问题,已解决,,速度太快，下相机有污渍,2025/4/24,,,汪羽杰,,2025/4/24 8:45,,,2.31_7_1F包材包材,2025/4/24 14:14,,,10.68.2.31,,,,问题记录,,,,,,,,,,导航,,2025/4/24,,,,1F包材包材,,
跨环境任务未开始,已过期,,,2025/4/24,,,汪羽杰,,2025/4/24 10:46,,,,2025/6/19 19:07,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/24,,,,,,
2.19报警消息无法加载,已解决,,报警消息太多导致,2025/4/24,,,汪羽杰,,2025/4/24 14:16,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/6/19 19:06,,,10.68.2.19,,,,问题记录,,,,,,,,,,,,2025/4/24,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
点胶脱轨问题,已过期,,,2025/4/24,,,汪羽杰,,2025/4/24 14:37,,,2.31_23_点胶车间,2025/6/8 15:16,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/4/24,,,,3点胶车间,,
成品机台任务未开始,已过期,,,2025/4/24,,,汪羽杰,,2025/4/24 15:05,,,,2025/6/19 19:07,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/24,,,,,,
2.31服务器死机,已解决,,未查明原因,2025/4/25,,,汪羽杰,,2025/4/25 9:51,,,2.31_2_富阳电装工厂,2025/6/19 19:06,,,10.68.2.31,,,,问题记录,,停产级（重大影响）,,,,,,,,服务器,,2025/4/25,,,,富阳电装工厂,,
出库顺序不同,已解决,,,2025/4/27,,,汪羽杰,,2025/4/27 9:45,,,,2025/4/27 11:21,,,10.68.,,,,问题记录,,,,,,,,,,NOC,,2025/4/27,,,,,,
"0x811,当前运动类型无法到达目标点",已过期,,,2025/4/27,NO,,汪羽杰,,2025/4/27 14:11,,,,2025/6/19 19:06,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/4/27,,,,,,
B868车不走也不报警,已过期,,没有任务,2025/4/27,,,汪羽杰,,2025/4/27 14:26,,,2.31_28_29_31_A2存储备料区域,2025/6/19 19:05,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/4/27,,,,829_31_A2存储备料区域,,
充电中任务下发失败,解决中,,,2025/4/29,,,汪羽杰,,2025/4/27 15:58,,,2.32_1_A3结构备料部@举升,2025/6/8 10:51,,,10.68.2.32,,,,问题记录,,,,,,,,,,,,2025/4/27,,,,A3结构备料部@举升,,
跨环境任务失败 ,已过期,,,,,,汪羽杰,,2025/4/28 10:29,,,,2025/6/19 19:05,,,10.68.,,,,,,,,,,,,,,,,,,,,,,
跨环境任务没执行,已解决,,跨环境配置表中容量管控配置的片区域不存在导致容量管控模块报错，容量管控相关跨环境任务不下发。添加片区域或暂时先删除配置。,2025/4/28,,,汪羽杰,,2025/4/28 10:54,,,2.32_1_A3结构备料部@举升,2025/4/28 13:58,,,10.68.2.32,,,,问题记录,,停线级（较大影响）,,,,,,,YES,"跨环境,配置问题",,2025/4/28,,,,A3结构备料部@举升,,
跨环境任务失败,已过期,,,2025/4/28,,,汪羽杰,,2025/4/28 11:24,,,2.32_3_A3结构备料部@连廊,2025/6/6 17:04,,,10.68.2.32,,,,问题记录,,,,,,,,,,,,2025/4/28,,,,A3结构备料部@连廊,,
下发的货架模型错误,已解决,,货架配置中货架模型错误,2025/4/28,,,汪羽杰,,2025/4/28 14:02,段路径失败(平台下发的货架模型id不再货架模型配置中（0X3617）Unkown),,2.31_28_29_31_A2存储备料区域,2025/6/8 22:11,,,10.68.2.31,,,,问题记录,,,,,,,,,,平台,,2025/4/28,,,,829_31_A2存储备料区域,,
跨环境任务失败，没有下发,已解决,,修改子任务预占,2025/4/28,,,汪羽杰,,2025/4/28 14:25,,,2.32_1_A3结构备料部@举升,2025/6/6 12:47,,,10.68.2.32,,,,问题记录,,,,,,,,,,跨环境,,2025/4/28,,,,A3结构备料部@举升,,
一个 车接两个任务,已过期,,,2025/4/28,,,汪羽杰,,2025/4/28 14:46,,,2.32_1_A3结构备料部@举升,2025/6/6 17:16,,,10.68.2.32,,,,问题记录,,,,,,,,,,,,2025/4/28,,,,A3结构备料部@举升,,
跨环境4个子任务但是只发了3个,已解决,,没有下发点位导致任务下发失败,2025/4/28,,,汪羽杰,,2025/4/28 15:54,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/6/6 17:15,,,10.68.2.19,,,,问题记录,,,,,,,,,,"平台,跨环境",,2025/4/28,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
路径异常,已解决,,禁行区设置问题,2025/4/28,,,汪羽杰,,2025/4/28 16:52,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/6/6 17:03,,,10.68.2.19,,,,问题记录,,,,,,,,,,平台,,2025/4/28,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
设备脱轨,已解决,,左轮抓地力<右轮抓地力 所有图像显示车往左偏,2025/4/29,,,汪羽杰,,2025/4/29 10:34,,,2.1_4_A4物流_2F,2025/4/29 10:52,,,10.68.2.1,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,脱轨,,2025/4/29,,,,A4物流2F,,
Y165预占,已解决,,跨环境失败任务未异常完成,2025/4/29,,,汪羽杰,,2025/4/29 11:22,,,2.27_1_行业备料部,2025/6/6 14:43,,,10.68.2.27,,,,问题记录,,,,,,,,,,,,2025/4/29,,,,行业备料部,,
库位传感器亮没接任务,已解决,,ics 版本问题,2025/4/29,,,汪羽杰,,2025/4/29 15:53,,,2.31_24_25_26_27_电装跨电梯,2025/6/6 17:04,,,10.68.2.31,,,,问题记录,,,,,,,,,Yes,"平台,跨环境",,2025/4/29,,,,425_26_27_电装跨电梯,,
任务没有上报,已解决,,,2025/5/6,,,汪羽杰,,2025/5/6 13:41,,,,2025/6/6 16:50,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/5/6,,,,,,
错误的车接了货架,已解决,,这个任务明龙这边发的车是0216应该是任务失败导致的，货架放下之后被清除了，导致找不到货架任务失败，明龙那边就往下分配车了,2025/5/6,,,汪羽杰,,2025/5/6 14:30,,,2.10_1_PCBA 半成品仓库,2025/6/6 16:46,,,10.68.2.10,,,,问题记录,,,,,,,,,YES,平台,,2025/5/6,,,,PCBA 半成品仓库,,
任务不下发,已过期,,,2025/5/9,,,汪羽杰,,2025/5/9 13:50,发送中,,2.34_2_KDA客户定制,2025/6/6 14:00,,,10.68.2.34,,,,问题记录,,,,,,,,,,,,2025/5/9,,,,KDA客户定制,,
CC71车跨环境任务,已过期,,,2025/5/12,,,汪羽杰,,2025/5/12 11:07,,,,2025/6/7 0:34,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/5/12,,,,,,
地图编辑器导致地图部分配置丢失,已解决,,问题描述，使用瓦力工具导入地图后，ARM通过类型这个参数配置会丢失，其功能为：限制空车无法通过，负载可以通过。经过测试，瓦力工具在高级配置中未开启“显示隐藏字段”的情况下下载地图并上传至平台，会导致隐藏字段的配置丢失，从仅负载变为null，导致配置失效。 测试了老地图工具V2.001.0000000.2.R.240104，未开启“显示隐藏字段”的情况下修改并上传地图不会导致此配置丢失。 问题已反馈华睿，目前需要在瓦力工具的“更多”-“高级配置”中打开“显示隐藏字段”之后再修改保存上传地图。并且避免其他人未打开此配置上传修改地图。,2025/5/13,NO,,汪羽杰,,2025/5/13 11:28,,,2.31_28_29_31_A2存储备料区域,2025/6/6 13:30,,,10.68.2.31,,,,问题记录,,,,,,,,,YES,Walle瓦力地图编辑工具,,2025/5/13,,,,829_31_A2存储备料区域,,
任务状态上报,已过期,,,2025/5/13,,,汪羽杰,,2025/5/13 13:39,,,,2025/6/6 14:09,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/5/13,,,,,,
举升任务失败人工干预,已解决,,设备日志显示没有货架模型，把点位移到地图外，重新新增点位恢复。旧点位与跨环境有关，不删除。,2025/5/13,,,汪羽杰,,2025/5/13 14:00,,,2.32_1_A3结构备料部@举升,2025/6/6 14:08,,,10.68.2.32,,,,问题记录,,,,,,,,,,"平台,跨环境",,2025/5/13,,,,A3结构备料部@举升,,
设备大量离线,已解决,,现场出现一个agv_test的无密码wifi，导致设备漫游时连上，但该网络与服务器端口不通，导致设备离线。联系it关闭网络后重新配网恢复。,2025/5/13,,,汪羽杰,,2025/5/13 15:01,,,2.31_28_29_31_A2存储备料区域,2025/6/6 14:21,,,10.68.2.31,,,,问题记录,,停产级（重大影响）,,,,,,,YES,网络,,2025/5/13,,,,829_31_A2存储备料区域,,
锁格未释放,已过期,,,2025/5/13,,,汪羽杰,,2025/5/13 16:51,,,2.32_1_A3结构备料部@举升,2025/6/6 14:23,,,10.68.2.32,,,,问题记录,,,,,,,,,,,,2025/5/13,,,,A3结构备料部@举升,,
设备往楼下走电梯发开门,已过期,,,2025/5/14,,,汪羽杰,,2025/5/14 10:11,,,,2025/6/7 3:16,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/5/14,,,,,,
暂停设备功能无法使用,已解决,,没有车加到夫区域导致，添加一台虚拟车到夫区域恢复,2025/5/14,,,汪羽杰,,2025/5/14 16:39,,,2.40_包材_行业_备料部_跨楼层配送,2025/6/18 13:45,,,10.68.2.40,,,,问题记录,,,,,,,,,Yes,rtps,,2025/5/14,,,,材行业_备料部_跨楼层配送,,
